Protein	Gene	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
Protein O-GlcNAcase	MGEA5	25.52747	25.62095	26.29717	26.51904	25.77458	26.27856	26.47729	26.58748	25.84327	25.9622	26.47199	25.81115	25.93457	24.57024	26.56501	25.42995	26.70233	25.90176	26.4513	25.29145	25.9352	26.23592	25.99857	25.98176	25.72461	26.00826	26.44563	26.01318	26.00042	26.09386	26.01296	26.02946
Isoform 3 of Heterogeneous nuclear ribonucleoprotein Q	SYNCRIP	27.41918	27.32872	27.22432	27.28762	27.24342	26.68039	25.93199	24.12003	26.48853	26.86963	26.24525	26.18005	25.80714	24.66615	25.61006	24.42338	25.96265	26.02051	25.79479	25.24355	25.68213	24.78691	24.62873	25.13659	26.47413	26.38042	27.80946	27.77934	26.74337	26.41792	26.71037	26.23618
"Isoform 2 of GDP-mannose 4,6 dehydratase"	GMDS	22.51598	21.27639	21.55201	20.11507	22.54964	19.00971	21.24363	20.11891	22.73551	20.0495	20.96475	20.25077	19.41215	21.25749	21.51341	22.23561	19.72052	23.02003	18.98823	22.81851	22.39566	20.43455	21.29877	22.17887	19.33013	23.12561	21.76021	19.76418	22.60765	22.60055	22.78393	22.41002
Protein diaphanous homolog 1	DIAPH1	24.66908	23.87532	24.53499	25.77638	23.77587	25.01712	24.17204	20.61417	25.04841	23.83371	25.02951	24.84774	24.12828	25.00214	24.84168	24.4844	24.39898	24.12335	24.77074	25.41892	23.88258	25.33261	24.52623	24.10173	22.49138	24.43096	24.36504	24.3383	23.98722	24.24298	23.40745	24.00368
Isoform 4 of Clathrin coat assembly protein AP180	SNAP91	24.46537	24.61852	25.08457	25.78382	25.40687	24.93449	25.39521	27.77177	26.33939	26.0813	27.51659	26.56506	27.1344	27.477	26.97194	28.06496	27.02526	27.15126	27.61196	27.32571	27.9209	28.30338	27.21297	27.876	25.72989	26.92546	26.7481	26.41581	26.88763	27.33007	26.91483	27.60599
Isoform 2 of Exocyst complex component 3	EXOC3	20.0968	21.31909	20.40541	19.00761	18.64393	19.50121	19.60015	21.06793	20.07262	19.73323	20.67287	18.20007	22.68567	19.07046	19.76867	21.20335	20.13603	21.06632	21.72507	19.43478	21.92698	19.93999	19.28174	21.41292	21.20305	21.30855	21.03432	18.43305	20.75495	19.30025	20.33407	21.30058
Isoform 4 of Perilipin-3	PLIN3	23.54259	24.26142	23.06899	23.86626	23.39237	22.15755	20.64232	20.68901	23.17215	23.2456	21.94698	23.76523	21.42936	22.09438	22.29508	20.85536	21.46916	21.16073	21.41419	22.15274	21.33156	22.48249	21.0335	21.62372	20.26587	21.43171	20.92752	21.34839	21.36709	19.53094	20.83302	20.67805
Isoform 2 of UDP-glucose 6-dehydrogenase	UGDH	24.71	24.81975	24.64294	25.04539	24.55777	25.06646	23.73985	20.45205	23.94825	23.66644	24.24513	24.83509	23.35268	20.99667	23.73242	22.40276	19.19018	22.54209	23.50719	23.68547	23.35563	23.31285	23.79491	20.65332	22.91866	23.20113	23.81978	21.60244	23.41286	19.26923	23.47655	22.18083
Isoform 1 of Catenin delta-1	CTNND1	23.76244	23.61491	23.57949	24.96122	23.55012	24.32043	22.88802	23.61398	24.24274	24.24325	24.20922	24.7269	23.89731	24.25114	23.71349	23.0001	24.09834	23.96218	23.68148	24.19524	22.98592	24.36042	23.74786	23.37387	23.61805	22.61727	23.45887	23.96785	22.22654	23.78831	22.96317	24.07388
Isoform 2 of Sorting nexin-2	SNX2	20.11983	23.79003	23.73219	24.09716	24.24891	23.56442	24.01289	23.29515	23.68485	23.8769	24.12085	24.16918	23.68071	23.71561	23.8335	23.40586	23.92628	24.36209	24.09842	24.2526	23.45551	23.62507	23.78057	23.65204	22.53269	23.5782	23.72581	23.13934	23.71523	23.47385	23.80828	24.0626
General vesicular transport factor p115	USO1	23.3965	23.57724	23.64593	21.64206	23.65059	22.6767	22.72498	21.44679	23.94722	22.76717	24.0621	23.38179	22.67567	24.147	24.56318	22.99163	22.97453	23.37993	23.09807	22.47769	23.40429	24.10688	24.10664	22.1831	20.36627	22.68656	24.23717	24.47355	24.02433	23.99255	24.00644	23.28228
TOM1	TOM1	19.02899	20.83384	20.59065	19.28232	20.91306	20.66853	21.60547	21.42624	21.4177	22.52621	18.70071	22.95377	17.28813	19.30479	21.81343	20.61834	21.83661	20.53176	21.46131	20.62316	20.80026	21.67878	20.69165	18.98804	21.19007	21.21128	21.68578	19.60709	22.17069	20.487	19.78737	20.39259
PRA1 family protein 2	PRAF2	21.99715	21.5183	21.07298	22.34822	22.00237	21.79017	23.00447	23.88337	23.57203	23.76159	22.99194	23.27875	24.05825	23.72739	25.376	24.97264	23.35848	24.0831	23.11229	23.53658	23.82942	23.66536	24.97191	24.74982	22.81279	22.83735	22.99599	22.88371	23.64753	23.45102	24.24998	24.73933
H/ACA ribonucleoprotein complex subunit 4	DKC1	21.5158	22.42895	22.82426	23.57789	22.71008	21.76514	21.16948	20.76539	21.42254	21.41452	21.54241	21.51608	19.94296	18.85917	19.36271	17.72569	23.17276	20.5256	17.93653	20.17425	19.36296	21.10926	18.67409	18.9059	22.57959	21.98051	22.80963	21.58228	21.36669	22.28929	21.23881	19.27569
Uncharacterized protein	GAS7	20.80703	19.25093	20.7286	20.49395	19.61559	19.84514	20.51353	21.99848	21.94407	21.23958	21.47507	21.8611	22.49561	21.03281	21.66882	21.25582	20.56816	23.644	22.57381	23.36009	22.82854	22.02845	21.9713	22.16665	21.90224	22.3637	22.41408	23.50621	23.45481	23.17259	22.3123	22.64524
Isoform 2 of Endothelial differentiation-related factor 1	EDF1	24.24781	26.08649	25.41698	25.91199	25.81988	24.85575	24.37451	23.58278	23.18093	24.77115	22.31656	24.70585	23.15989	21.98211	20.30119	22.9356	21.42684	23.03434	23.30577	23.76566	22.40978	20.47049	18.76298	21.91378	23.34823	23.42614	22.04635	25.51548	23.06407	23.39464	20.97085	21.84467
DnaJ homolog subfamily A member 2	DNAJA2	24.46633	24.88482	24.53422	24.00542	23.97189	24.07386	23.42726	23.00278	24.68891	24.7945	24.74899	23.26971	24.04122	22.93597	24.63662	25.00888	23.04847	24.21888	24.47252	23.72585	24.68764	24.5812	24.54115	24.63644	23.09691	23.69761	25.19819	24.30413	24.8172	24.44969	24.59776	24.70806
Isoform C of Protein CutA	CUTA	25.66837	25.85082	24.42436	25.7489	25.56853	26.05034	25.53696	25.66718	26.25317	25.70145	25.58172	26.13674	26.03417	25.57645	27.09981	26.17252	25.55245	25.87662	25.70984	25.53892	25.82877	25.85767	26.39056	26.10298	26.40866	25.63737	24.95353	25.07086	25.26006	25.89953	26.04419	26.26533
Prefoldin subunit 1	PFDN1	25.37554	26.52663	24.76383	25.69234	26.28859	24.94028	24.98677	24.0859	26.2113	26.31002	24.97066	26.30307	25.87895	25.52596	25.13649	24.48102	24.1035	25.32091	24.51113	25.08971	25.87552	25.27086	24.92456	24.44045	25.32565	24.69302	24.85772	26.07272	25.18573	25.61452	25.06532	25.32699
Nucleolar protein 3 (Fragment)	NOL3	21.71878	20.1483	19.83088	19.31534	19.84093	20.8464	20.89063	21.18933	20.14922	20.60567	21.01182	20.04151	19.28494	20.88622	22.72254	22.62771	21.60431	19.66223	20.11464	20.17201	19.8164	20.51958	22.30987	22.64893	20.52725	19.56939	19.58524	19.78602	18.81685	19.93957	21.70703	22.58929
Isoform 3 of Kinesin-like protein KIF21B	KIF21B	24.26039	23.76316	23.64982	24.54425	23.97982	23.86296	25.37731	26.64193	25.41153	26.46029	25.59941	25.43597	26.16093	26.30234	26.58966	26.15588	26.90659	26.26115	26.12817	25.56049	26.1152	26.05625	26.87055	26.46697	23.44133	25.57348	25.03005	24.26895	25.58995	25.47995	26.28193	26.1277
"Isoform 2 of 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2"	PLCH2	20.21072	20.81839	19.67983	20.29412	18.87627	19.98642	20.48051	22.04844	19.07994	19.39875	21.51646	21.49472	20.55772	19.56684	23.05573	22.33583	21.52626	20.16697	19.94578	18.8226	20.87912	20.09404	23.44338	22.14382	21.23105	19.36516	20.82543	18.21729	20.10092	19.58234	22.56663	22.40097
SLIT-ROBO Rho GTPase-activating protein 2	SRGAP2	24.66776	23.87241	24.26017	24.85621	23.71489	24.59306	24.75824	24.42372	25.40056	24.96133	25.55798	24.84765	25.66807	25.6653	25.71761	25.0725	24.87566	26.2378	26.23398	25.66586	25.9361	25.82707	25.88983	25.45811	23.99688	25.96589	25.9609	25.69587	26.05007	25.59911	25.60293	25.44218
Plexin-A2	PLXNA2	24.7253	24.59195	23.82891	24.20041	24.27976	23.28862	23.59203	22.57834	25.46913	25.22442	24.96836	25.24365	24.9217	24.35648	24.70703	22.93811	24.03796	25.47569	24.69814	25.23978	24.92388	24.44506	24.65788	23.48174	23.84377	23.59307	24.40517	24.28983	24.58533	23.61501	23.66331	24.14703
Immunoglobulin superfamily member 3	IGSF3	23.85499	24.48562	23.16008	23.55625	23.62895	22.58457	22.5233	26.76938	26.18997	24.6574	24.28569	24.58709	24.14331	22.3751	22.9373	22.86185	26.96513	25.32225	24.36279	24.5911	24.76033	23.06771	24.1543	23.77267	26.2247	25.90917	25.19979	24.1265	25.36885	24.56289	26.03846	25.574
Isoform 4 of Putative tyrosine-protein phosphatase auxilin	DNAJC6	18.6678	20.0302	18.4168	19.88177	20.42617	22.45247	21.34572	23.88059	22.89462	24.86377	23.00544	21.42494	22.77663	23.47693	23.91774	23.0065	23.96965	23.71512	23.47218	22.90613	23.21132	23.9963	23.53445	23.50921	23.75878	23.48714	23.6472	22.78646	23.24061	23.74807	23.90882	23.45744
WD repeat-containing protein 1	WDR1	27.26551	27.67408	27.79446	27.95445	27.62355	27.88046	27.23167	27.62292	27.31088	27.62483	27.77893	27.77281	27.66487	27.69918	28.03537	27.68307	26.77817	27.56156	27.69246	28.20276	27.62244	27.82742	27.86646	27.73686	25.86455	27.19305	27.4278	27.32572	27.53167	27.52113	27.77742	27.80585
Probable phospholipid-transporting ATPase IIA	ATP9A	22.32776	22.69475	22.58033	23.60337	21.69663	23.54828	23.66868	23.61441	23.09709	23.09468	23.95609	23.51517	23.60169	24.04888	24.00633	23.90215	23.43569	23.4179	23.68333	24.07406	23.71222	23.87144	24.29524	23.95868	23.97956	24.86222	23.86516	24.17213	24.07232	24.3912	24.43062	24.43074
Rho-associated protein kinase 2	ROCK2	24.62498	23.94595	23.36783	23.68119	23.64915	23.76649	23.67896	23.78729	25.16783	23.61341	25.02922	24.35636	25.36511	25.47858	24.86827	25.9542	24.09981	25.20647	25.51573	25.64178	25.88287	25.94714	25.21604	25.60715	24.55241	24.75862	24.93007	24.42556	25.59336	25.35424	24.85689	24.95963
CLIP-associating protein 2	CLASP2	24.58244	25.0581	25.02214	24.77588	25.14241	23.88887	25.23727	26.84158	25.76449	26.26204	25.76624	26.00388	25.83261	25.71909	26.109	26.25421	26.63971	26.06372	25.79711	26.23869	25.59188	26.26787	25.97065	26.33626	25.46679	26.1075	25.42178	25.24809	25.07563	24.20191	25.72585	25.93555
Copine-3	CPNE3	23.49676	22.03086	22.20502	23.99987	22.01342	23.41938	22.77513	22.86942	23.85926	23.70274	23.18354	22.94311	22.46181	22.24867	21.81218	21.36895	22.67431	21.76818	22.45126	21.46578	22.12699	22.23154	22.07401	21.43056	22.26878	22.38495	22.03662	21.85469	21.60082	21.1237	21.94142	22.52487
Isoform 2 of Liprin-alpha-3	PPFIA3	21.23319	21.95787	23.56341	22.57452	21.79044	23.51745	24.12928	24.56095	24.20273	24.49303	25.07373	23.69911	25.20774	25.625	25.52825	26.36129	22.57578	25.04394	25.20969	25.57391	25.21116	25.90412	25.77598	26.8153	20.40463	23.40211	24.7566	24.63389	24.76342	25.58568	25.21522	25.6236
Huntingtin-interacting protein 1-related protein	HIP1R	22.93184	23.01098	22.99706	21.58276	22.79586	22.67068	23.58486	24.78508	23.85493	23.57375	23.97539	23.54416	23.52915	23.38834	24.54684	22.57163	24.05282	23.32019	23.33918	23.97723	24.07171	23.71045	23.58841	22.67042	25.146	23.47282	24.29133	23.94102	24.04101	23.73492	24.06752	22.96321
Isoform 3 of E3 ubiquitin-protein ligase BRE1B	RNF40	20.97715	19.85629	20.99945	19.14103	20.94354	20.38056	21.13241	21.55787	21.50158	18.50246	19.7035	19.61807	20.32109	21.30203	20.8665	20.10462	21.73446	20.93229	20.63216	20.23311	20.16427	18.9291	20.49214	19.7159	21.21177	21.19915	21.31281	19.05647	21.57392	21.93438	21.08293	21.25058
Calcium-responsive transactivator	SS18L1	20.60873	24.22832	19.06572	19.5117	19.32268	19.59777	22.78259	23.13755	23.17153	22.634	20.00605	20.81495	20.63835	21.5306	19.34085	18.83494	23.43906	23.1472	19.78341	21.1715	18.74137	19.72357	21.99247	19.77669	25.44361	23.63238	19.40638	19.11051	20.12935	20.96379	22.51742	22.45284
DnaJ homolog subfamily B member 6 (Fragment)	DNAJB6	23.58733	23.60183	22.89615	23.36821	23.68688	23.38722	19.24675	20.30187	23.8786	23.29095	23.11044	23.30875	23.2288	22.56891	23.53441	23.58118	23.02686	23.77116	23.59846	23.18638	22.9869	23.08289	21.73934	22.23284	20.4335	23.41571	23.56228	25.06836	24.09257	23.47731	23.74659	23.50905
Isoform 3 of Gamma-glutamylcyclotransferase	GGCT	22.03224	22.8861	22.10378	22.97149	22.97587	22.45413	20.89753	21.48222	22.82019	22.8557	23.16697	22.86859	22.78819	23.31025	22.8596	22.98977	19.3091	22.37363	22.87919	22.77208	22.58077	23.1853	23.43427	22.71544	22.14881	20.06456	22.45161	22.63454	22.35759	22.76417	22.55541	22.58728
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial"	NDUFS2	21.94011	21.72197	21.53382	22.26562	21.60374	21.08424	22.68989	23.23641	23.02866	22.5372	21.58165	19.88881	21.4244	21.38659	22.66827	21.28121	23.63527	21.89553	22.09958	22.27364	21.4517	22.5101	21.81557	22.14646	23.49802	22.54821	23.20522	22.40308	24.06409	21.6529	22.50973	21.28294
Zinc finger protein ZPR1 (Fragment)	ZPR1	23.26984	23.54436	22.98827	23.69025	23.24474	23.50556	23.12013	23.53489	23.25431	23.74115	23.26899	23.00839	23.38004	22.46643	23.22093	22.37462	24.23484	23.21593	23.00498	23.21805	23.42856	23.23054	23.06681	22.55052	23.71397	23.36076	23.62371	23.50031	23.67279	22.90071	23.01623	22.38074
Protein NipSnap homolog 2	GBAS	22.65682	25.32468	24.25191	24.89308	24.58147	25.15479	25.0747	24.67065	23.72286	24.28534	24.29306	24.2534	23.64366	24.21704	23.14456	22.46248	23.43505	22.75916	22.62495	23.85363	22.72318	23.81363	22.17667	23.38787	20.63848	24.33967	23.20999	24.5288	22.72172	23.05753	23.43796	24.89927
Isoform 2 of Semaphorin-7A	SEMA7A	23.18084	23.21262	20.05059	22.28857	23.41591	16.18012	22.71929	23.37204	22.76089	23.06751	23.4073	23.28849	23.10233	23.6479	22.96857	23.22655	22.01818	23.50864	23.37819	24.26866	23.27074	24.69896	23.37218	24.22054	21.23058	23.15911	22.72527	22.40683	22.5491	23.00713	23.02732	24.03083
Isoform 2 of Liprin-alpha-2	PPFIA2	23.35178	20.73532	23.05636	23.59855	23.16816	24.15692	22.56798	24.03769	23.53369	23.92101	24.83599	23.30006	24.90026	24.78234	25.71654	25.72895	22.78792	24.83359	25.20757	23.8404	24.5893	25.05047	25.00156	26.43139	23.52025	24.22076	25.16754	23.45396	24.69707	25.40028	24.99503	25.89903
Isoform 2 of Programmed cell death protein 6	PDCD6	23.81597	22.15663	23.91437	23.89424	22.87187	23.87886	20.80863	22.45589	23.52037	22.02422	24.16756	24.33365	22.2489	24.43754	23.19521	23.67317	19.99106	22.90379	22.87499	24.36678	23.05061	24.17355	23.71473	23.18524	21.22859	21.31562	24.19438	24.49006	23.14921	23.57121	23.5398	23.56046
Tubulin-specific chaperone A	TBCA	28.75505	29.06248	28.82478	27.8715	29.24112	29.21274	28.44112	26.40114	28.16527	28.01791	27.87331	28.20035	28.51224	28.09493	28.12195	27.61391	27.58361	28.01344	27.47624	27.98299	27.90288	27.4913	28.19046	27.32527	28.29114	27.81811	27.69915	27.37828	27.77247	27.73478	27.90788	27.234
V-type proton ATPase subunit G 1	ATP6V1G1	22.78093	22.69424	22.90691	22.74293	23.04928	22.96048	22.83137	23.09017	22.98493	22.04533	21.47293	22.58859	21.89237	21.54491	20.94332	22.35095	22.9466	22.01188	21.38611	22.34464	21.43204	20.4435	21.78491	22.10743	22.62576	22.55511	21.72148	22.06582	21.65159	22.04203	21.67741	22.30589
Breast carcinoma-amplified sequence 1 (Fragment)	BCAS1	19.60924	19.30637	19.72044	20.09754	18.46283	20.89334	20.78201	19.20072	18.63651	17.83781	19.79778	20.61462	18.39105	19.48957	18.81594	19.55431	19.27242	19.58315	19.20479	20.93177	19.19137	19.47316	18.8656	20.01488	18.94775	17.88253	20.54663	19.56209	20.1201	20.56972	19.72058	19.9213
Isoform 3 of Core histone macro-H2A.1	H2AFY	28.38538	28.85634	28.88192	29.15851	29.31519	28.94385	28.56386	27.72376	27.70437	27.26568	26.54521	28.06797	27.18504	26.30113	26.53087	24.19153	27.84085	27.66794	26.8829	27.53495	26.12617	25.31215	26.06897	25.09062	28.45348	28.21062	28.66859	29.62182	27.80463	27.84146	27.64897	26.73969
SH3 domain-binding glutamic acid-rich-like protein	SH3BGRL	25.83516	26.7575	25.09	25.55289	26.76427	26.20421	25.25082	24.79246	25.08059	25.58816	25.45609	25.18849	25.47977	24.6366	25.54486	25.5177	22.92814	24.38203	23.69373	24.28043	24.94125	24.78297	25.36435	25.23275	23.36682	23.7987	24.01745	23.92981	24.49787	24.46663	25.12883	24.58766
Isoform 5 of Filamin-B	FLNB	22.70666	22.70587	22.37208	22.52876	22.09671	22.3461	23.83372	23.88961	22.75558	23.16431	21.74756	22.92565	22.21918	21.88266	22.06199	20.76441	23.07309	20.92745	21.02662	19.85376	21.24518	21.12259	21.7525	19.34457	23.81371	23.3959	22.39861	19.45315	22.15615	21.65966	22.13319	21.50373
Isoform 4 of Tripartite motif-containing protein 3	TRIM3	19.94792	19.30026	20.57663	21.1107	20.80304	21.78005	24.69157	25.05268	23.96259	23.26028	24.74231	23.76651	24.71961	24.77926	25.46188	24.99893	24.5382	24.35807	25.00433	24.29625	24.61394	25.45224	25.01274	25.06327	23.28819	24.31695	24.30713	24.29176	24.15395	24.82792	24.65077	24.92417
Citrate synthase	CS	26.68265	26.47316	26.62331	27.08999	26.53324	26.04514	26.14348	27.91635	26.66005	26.25596	26.69265	26.48935	26.81647	26.19923	26.92892	27.08265	26.7052	26.85488	26.98874	27.11472	27.03873	27.1992	27.00948	27.43961	26.15833	27.16555	27.38796	27.0299	27.47277	27.34961	27.09725	27.57007
Vesicle-trafficking protein SEC22b	SEC22B	24.70154	24.94352	24.42128	25.56138	24.63443	24.53654	25.43823	24.82493	24.61206	24.05519	23.96457	25.35253	24.47453	23.83107	24.44544	24.06724	26.06281	24.27251	23.93035	24.39602	24.04342	23.75473	24.13245	24.31529	25.76952	24.99468	24.29993	25.21976	24.5726	24.59253	24.42548	24.50695
Metaxin-2 (Fragment)	MTX2	22.54666	20.40943	20.88107	19.24537	20.76329	19.82644	20.51482	22.77996	18.02033	22.03369	19.28311	19.68704	21.42729	20.24381	19.44408	22.15491	22.89853	18.25398	19.98554	20.61358	17.84671	19.78939	20.48631	20.89344	21.27783	23.16335	21.90754	20.84644	21.47964	22.32818	21.77714	19.69476
Vacuolar protein sorting-associated protein 26A	VPS26A	23.46301	24.0556	23.61804	24.26199	23.47198	24.17658	22.1055	20.69194	22.90967	23.20754	23.47354	23.99451	23.62265	22.68879	23.46351	20.40192	22.69829	19.37427	23.72282	22.79652	21.54934	22.65926	22.77461	22.89745	22.04895	21.90021	23.97068	24.34156	22.99948	23.6291	23.17636	22.93296
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1	NDUFB1	23.01648	23.53514	22.91278	20.392	20.20147	20.30136	20.93617	20.89339	23.3405	23.3315	19.69395	23.98287	23.42963	23.23021	23.85608	23.87218	20.14994	23.14733	20.20048	24.67874	22.04759	20.38722	23.65152	24.12733	20.9992	19.5366	19.51752	19.7973	23.88548	19.85032	23.89236	24.63359
PC4 and SFRS1-interacting protein	PSIP1	27.10974	26.91182	27.03018	27.0783	26.82399	26.17861	25.27286	23.60224	25.21521	25.1619	24.04468	24.82582	24.75957	22.60452	23.14682	21.76274	25.59193	25.01895	23.51736	24.09074	23.24778	21.57936	23.63078	22.94772	26.15072	26.26936	26.04457	26.82332	25.71679	24.50122	25.68624	24.76584
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial"	NDUFS3	24.90054	25.18721	24.59487	25.17767	24.75359	24.41584	24.42214	24.13122	25.18958	24.9785	25.15365	25.0191	25.13523	24.79405	25.35867	24.73128	24.91891	24.9455	24.54149	25.02895	25.02129	24.8874	24.84889	25.01546	24.42191	24.93975	25.43323	25.73161	25.68224	25.81289	25.41691	25.88887
Carbonic anhydrase-related protein 11	CA11	20.80185	19.64931	21.10585	20.73264	18.95227	20.39211	20.74325	21.96407	19.3778	19.45658	19.91222	19.99082	19.8003	20.23705	21.04568	21.25598	20.6536	20.20598	19.96874	21.01566	19.55457	20.88693	21.05167	21.39666	21.07435	19.60348	19.60099	21.30614	19.23032	18.49265	20.08758	19.61416
Isoform 5 of Serine/arginine-rich splicing factor 10	SRSF10	27.69324	26.96549	26.0593	26.83811	26.74556	24.24485	27.07867	25.25298	25.77583	23.73579	23.52386	24.57175	24.85001	22.59222	21.38664	17.94707	28.08153	25.34342	23.47176	22.81688	23.50263	22.99901	20.4109	20.73545	28.77193	27.1903	25.86253	24.02926	25.9735	25.12378	25.19525	23.10908
Heat shock factor-binding protein 1	HSBP1	22.24203	20.87745	20.94327	21.963	21.65552	17.69173	21.14409	20.10069	22.00559	21.29312	20.67557	20.45483	21.90326	21.26688	20.81394	23.73068	19.80021	22.90922	21.15099	18.74346	22.7036	19.23038	22.62583	23.72649	20.2086	20.51377	21.20305	19.24474	21.78319	18.91615	22.46373	22.43809
"Isoform 2 of KH domain-containing, RNA-binding, signal transduction-associated protein 3"	KHDRBS3	24.76948	22.88287	24.55843	25.75335	25.6925	24.59482	25.45555	25.38283	24.81679	24.9001	26.07282	26.63414	25.99272	26.39415	26.34372	26.05916	25.36353	25.09363	24.88251	24.18601	24.95161	24.05775	25.89536	24.27023	25.1356	25.14076	27.00338	25.41579	27.5542	25.09298	25.85251	25.14268
Barrier-to-autointegration factor	BANF1	21.90874	25.01481	24.33064	23.44958	23.03721	24.68651	23.6888	23.23691	24.17058	21.22152	24.03539	24.18167	19.52186	23.50293	21.23253	21.65285	23.80268	23.30869	23.30758	22.42987	21.5677	24.0401	22.67866	17.47686	24.16766	23.75915	23.62178	20.85418	19.00567	23.76182	23.5295	21.6456
Splicing factor 3B subunit 1	SF3B1	24.45484	23.81226	26.30631	25.44455	25.08451	23.38609	19.336	19.27954	23.16489	21.75959	23.29631	22.44361	21.42512	21.20329	17.63636	20.16289	23.31077	22.25564	22.30646	21.93951	22.11086	21.45396	18.16515	20.08186	22.22662	22.89949	26.11737	23.5933	22.7943	23.38515	22.80843	22.23669
Isoform 2 of Cold shock domain-containing protein E1	CSDE1	22.26735	22.35848	19.45651	20.019	21.71053	20.4797	23.78077	23.38916	22.38108	22.06006	21.86937	22.34167	21.28393	20.41818	20.04119	19.59196	23.91058	22.34852	22.256	22.33699	21.80463	22.49377	21.41251	21.50554	24.16873	23.34773	22.14299	22.72621	22.31725	22.9149	22.27098	21.42552
Isoform 3 of Interferon-inducible double-stranded RNA-dependent protein kinase activator A	PRKRA	22.99138	22.50516	23.45696	23.222	22.47106	23.4726	19.92061	23.83875	22.69393	22.41716	22.86396	23.39548	20.9299	21.1638	21.83029	21.01822	22.80971	22.29945	23.28459	22.85836	21.91877	21.95297	21.64974	22.62142	23.21139	23.3414	25.10934	25.28329	23.65664	24.59275	24.20015	24.33715
Ribosomal protein S6 kinase alpha-5	RPS6KA5	20.73909	21.50252	22.06869	22.57408	20.8349	21.97337	21.7522	21.17112	21.05156	21.71782	21.68412	18.15351	21.22205	20.61459	21.16202	20.09703	22.02087	21.88641	20.92767	19.7907	21.01134	21.30941	19.63069	19.88526	22.21057	22.13545	23.29715	22.62616	22.75245	21.10895	21.45473	20.97703
Acyl-protein thioesterase 1 (Fragment)	LYPLA1	23.12921	22.47241	21.97469	22.92775	22.82136	24.41918	20.14305	23.57298	22.53303	19.61316	22.55557	19.82703	22.23768	20.19844	22.54931	20.54265	23.62749	21.275	21.7115	18.31779	21.54823	19.44051	20.92149	17.75386	21.40711	23.48173	23.20569	19.36831	22.10991	20.22063	21.96923	21.98503
U5 small nuclear ribonucleoprotein 200 kDa helicase	SNRNP200	25.41181	25.07162	26.96506	26.74507	24.88303	25.81945	23.90791	22.739	25.17145	24.34144	24.81247	24.47648	23.9123	23.38541	23.82522	18.59081	25.43094	24.43962	24.90114	24.17617	23.67516	23.20358	23.35138	21.5714	24.55878	23.79261	27.17276	25.93037	25.55951	25.50774	25.10704	23.94759
TIP41-like protein	TIPRL	22.55601	21.84735	20.45297	21.29048	22.50059	20.68891	21.0225	22.42278	22.34518	21.95748	19.95377	20.49309	22.96866	22.70314	21.56795	22.26475	21.61563	22.21309	21.61621	22.88321	22.71713	23.74253	21.93451	21.59553	19.93883	21.43303	20.87365	21.8852	22.59099	23.9229	22.27312	22.42438
Protein phosphatase 1B	PPM1B	24.51025	24.67657	23.43126	23.53234	24.49153	24.11109	24.93908	25.47776	24.54751	23.61813	24.0416	22.71067	24.38858	23.96992	24.4396	24.09393	25.31416	24.31916	23.87975	24.05698	24.67617	24.32513	24.41624	23.90897	24.75453	24.72093	24.13017	23.78586	24.5921	24.04286	24.41401	23.98871
Protein XRP2	RP2	21.67306	22.13078	21.24068	21.5074	21.06264	18.81615	18.41405	21.58215	20.48031	21.46144	20.99645	21.27893	21.46518	21.46712	21.67274	20.85483	22.18889	21.23846	20.63741	21.41862	19.66479	21.40738	19.58418	19.51985	21.5522	21.41346	20.90793	18.99999	20.41209	20.83715	20.76368	20.33342
Calcium-binding mitochondrial carrier protein Aralar1	SLC25A12	24.30854	24.38775	24.92744	25.13562	23.81426	24.6111	22.59157	23.39814	24.1868	24.47847	24.92436	24.68679	24.72994	25.37427	25.91566	26.33986	22.5032	24.59815	25.16558	25.32302	25.30688	25.38386	25.92836	26.3139	19.93636	24.45148	25.48925	25.76297	26.03489	25.94774	25.85742	26.73218
Paralemmin-1	PALM	27.17899	27.1018	26.40986	27.01336	27.27037	27.16411	26.86055	27.32445	27.98691	28.30481	28.23363	27.88201	28.75571	28.77757	28.97504	29.04244	26.35056	28.4232	28.06181	27.93399	28.23355	28.11127	28.88892	28.8392	26.22802	26.64659	26.8909	27.00489	27.59846	27.21457	28.05436	28.21033
Ribonuclease H2 subunit A	RNASEH2A	22.9796	23.16857	23.51672	24.7839	23.2182	22.65172	20.8156	21.23685	20.2874	18.986	21.90891	18.36819	21.48557	19.47182	18.67476	19.46652	20.37427	19.04613	20.6004	19.58772	20.75695	19.69606	19.34303	20.18389	20.7285	19.65808	21.3928	21.52665	19.13238	21.39063	20.23329	20.26323
Eukaryotic translation initiation factor 3 subunit G (Fragment)	EIF3G	24.18407	24.25123	23.60938	22.20305	24.45971	22.02316	22.8231	22.29309	23.61925	23.14808	23.21547	22.432	22.4984	19.02074	22.44981	20.54338	23.50417	22.34547	23.0115	23.24757	21.69633	23.058	22.0877	22.05683	24.13407	23.59462	24.78911	23.7548	22.53823	24.14701	23.2468	23.13809
